domain,url,text,polarization,ex_text1,ex_text2,ex_text3
onet.pl,https://wiadomosci.onet.pl/kraj/andrusiewicz-osoby-zaszczepione-druga-dawka-zwolnione-z-obowiazku-kwarantanny/vxz7sy4,"Będzie to dotyczyć zarówno kontaktu z osobą zakażoną, jak i powrotu zorganizowanym transportem z zagranicy. Zaszczepieni nie są również uwzględniani w limicie osób, które mogą przebywać na imprezach domowych - powiedział rzecznik Ministerstwa Zdrowia Wojciech Andrusiewicz. Rzecznik resortu zdrowia podczas briefingu był pytany, z jakich obostrzeń będą zwalniane osoby, które otrzymają druga dawkę szczepionki przeciw COVID-19.
Andrusiewicz przypomniał, że ""osoby, które są zaszczepione drugą dawką m.in. są zwalniane z kwarantanny w przypadku, kiedy ta kwarantanna byłaby dla nich obligatoryjna po kontakcie z osobą zakażoną, nie muszą podlegać kwarantannie po powrocie zorganizowanym transportem z zagranicy, nie są uwzględniane w liczbie osób, które mogą przebywać na spotkaniach i imprezach domowych"".
Koronawirus w Polsce. Nowe dane
Informacja o przebytym szczepieniu będzie wprowadzana do e-Kart Szczepień w systemie P1. Oprócz tego będą wystawiane tzw. kody QR, które będą do pobrania z Internetowego Konta Pacjenta.
A jeśli ktoś nie ma takiej możliwości, wówczas będzie mógł wziąć z punktu szczepień wydruk potwierdzający, tzw. paszport osoby zaszczepionej. Będzie on potwierdzał, że osoba jest zaszczepiona i może korzystać z uprawnień, które przysługują osobom zaszczepionym. Kod QR będzie wystawiany po zaszczepieniu drugą dawką.",0,,,
onet.pl,https://wiadomosci.onet.pl/kraj/wyrok-tk-o-aborcji-kulisy-wydania-uzasadnienia-wersja-nie-wiadomo-skad/g7t16le,"Część sędziów TK nie chciała podpisać uzasadnienia wyroku w sprawie aborcji. Jeden z nich w rozmowie z ""Dziennikiem Gazetą Prawną"" mówi: ""Był wstępny projekt, nad którym miały toczyć się prace, jednak zamiast tego po jakimś czasie pojawiła się nie wiadomo skąd gotowa wersja, którą trzeba było tylko podpisać"". Po prawie 100 dniach od ogłoszenia wyroku, Trybunał Konstytucyjny w środę opublikował jego uzasadnienie. Dokument liczy 154 strony, zdania odrębne zgłosiło do niego pięciu sędziów. To Leon Kieres, Piotr Pszczółkowski, Zbigniew Jędrzejewski, Mariusz Muszyński i Jarosław Wyrembak. ""DGP"" cytuje w swoim tekście fragmenty votum separatum sędziego Wyrembaka. ""Zdecydowanie nie akceptuję uzasadnienia wyroku przedstawionego mi do podpisu w dniu 3 grudnia 2020 r. i trybu, w jakim zostało ono ukształtowane. Nie aprobuję przyjętego sposobu uzasadniania niekonstytucyjności przepisu (...). Nie aprobuję także praktyki zbierania podpisów sędziów pod uzasadnieniem wyroku przed udostępnieniem podpisanego protokołu rozprawy z 22 października 2020 r., po której wyrok został wydany (protokół rozprawy został udostępniony sędziomTrybunału Konstytucyjnego dopiero 7 grudnia 2020 r.)"" - czytamy w zdaniu odrębnym sędziego, wybranego głosami posłów PiS w 2018 r.",1,"Część sędziów TK nie chciała podpisać uzasadnienia wyroku w sprawie aborcji. Jeden z nich w rozmowie z ""Dziennikiem Gazetą Prawną"" mówi: ""Był wstępny projekt, nad którym miały toczyć się prace, jednak zamiast tego po jakimś czasie pojawiła się nie wiadomo skąd gotowa wersja, którą trzeba było tylko podpisać""",,
onet.pl,https://wiadomosci.onet.pl/kraj/wyrok-tk-ws-aborcji-donald-tusk-im-nie-chodzi-o-ochrone-zycia/lmk6etk,"Donald Tusk skomentował publikacje uzasadnienia wyroku Trybunału Konstytucyjnego dotyczącego aborcji. Rzecznik rządu zapowiedział, że publikacja wyroku nastąpi jeszcze w środę. Jak ocenił były premier ""im nie chodzi o ochronę życia"".  Trybunał Konstytucyjny opublikował w środę uzasadnienie pisemne wyroku z 22 października ub.r., w którym orzekł o niekonstytucyjności przepisu dopuszczającego aborcję w przypadku dużego prawdopodobieństwa ciężkiego i nieodwracalnego upośledzenia płodu. Wyrok został opublikowany w Dzienniku Ustaw jeszcze w środę po godz. 23. ""Im nie chodzi o ochronę życia. To przecież pod ich rządami coraz więcej Polaków umiera i coraz mniej się rodzi. Życie to polskie kobiety. Obrona ich praw i godności przed cynicznym fanatyzmem władzy to nasze być albo nie być"" - napisał na Twitterze Donald Tusk. 22 października ub.r. TK - po rozpatrzeniu wniosku grupy 119 posłów PiS, PSL-Kukiz'15 oraz Konfederacji - orzekł, że przepis tzw. ustawy antyaborcyjnej z 1993 r. zezwalający na aborcję w przypadku ciężkiego i nieodwracalnego upośledzenia płodu albo nieuleczalnej choroby zagrażającej jego życiu jest niekonstytucyjny. Orzeczenie wywołało falę protestów w kraju.",1,Im nie chodzi o ochronę życia. To przecież pod ich rządami coraz więcej Polaków umiera i coraz mniej się rodzi. Życie to polskie kobiety. Obrona ich praw i godności przed cynicznym fanatyzmem władzy to nasze być albo nie być,,
onet.pl,https://wiadomosci.onet.pl/kraj/konferencja-dot-obostrzen-kiedy-lagodzenie-obostrzen/g1fpqys,"Dziś o godz. 12.30 odbędzie się konferencja, na której minister zdrowia Adam Niedzielski oraz minister rodziny i polityki społecznej Marlena Maląg poinformują o zmianach w restrykcjach spowodowanych pandemią koronawirusa. Jakie obostrzenia zostaną złagodzone? Kiedy otwarte zostaną szkoły? Odpowiedzi na te pytania poznamy najprawdopodobniej dziś popołudniu. - Analizowana jest sytuacja, mam nadzieję, że w godzinach popołudniowych premier Mateusz Morawiecki przedstawi kierunek ostrożnego ""luzowania"" obostrzeń - powiedział w czwartek szef Komitetu Wykonawczego PiS Krzysztof Sobolewski. W środę rzecznik rządu Piotr Müller poinformował, że w czwartek zostanie przedstawiona informacja na temat zasad bezpieczeństwa epidemicznego, które będą obowiązywały od 1 lutego. Dziś pojawiła się też oficjalna informacja. Dworczyk pytany w Programie Pierwszym Polskiego Radia, czy obecne obostrzenia zostaną poluzowane czy utrzymane stwierdził, że ostateczne decyzje zapadną dziś rano i zapewne tego samego dnia zostaną zakomunikowane. Z nieoficjalnych informacji Onetu wynika, że wkrótce dojdzie do otwarcia galerii handlowych. Właściciele pensjonatów, hoteli, restauracji i barów będą musieli czekać na otwarcie przynajmniej kolejny miesiąc. Zmiany w restrykcjach nie obejmą także szkół. Nauczanie zdalne dla uczniów klas IV-VIII zostanie przedłużone o kolejne dwa, a być może i cztery tygodnie. Łagodzenie obostrzeń. Kiedy konferencja premiera? We wtorek rzecznik rządu Piotr Müller poinformował, że konferencja Mateusza Morawieckiego ws. najnowszych obostrzeń epidemicznych odbędzie się ""w najbliższych dniach"". W środę potwierdził dokładny termin. Na konferencji zapowiedziano jednak obecność ministrów: Adama Niedzielskiego i Marleny Maląg.",0,,,
onet.pl,https://wiadomosci.onet.pl/kraj/waloryzacja-emerytur-jaroslaw-kaczynski-z-wyzsza-emerytura-ile-wyniesie/bk3m6rc,"Emerytury i renty podlegają corocznie waloryzacji od 1 marca. W tym roku seniorzy, którzy pobierają najniższe emerytury, otrzymają 50 złotych więcej, a dla pozostałych podwyżka świadczeń wyniesie minimum 3,84 proc. Jednym z beneficjentów wspominanej waloryzacji będzie Jarosław Kaczyński. Ile emerytury będzie pobierał prezes PiS po wejściu w życie zmian? Proponowane przez resort rodziny i polityki społecznej rozwiązanie zakłada, że najniższe emerytury, renty z tytułu całkowitej niezdolności do pracy, renty rodzinne i renty socjalne mają być podniesione do 1250 zł, a renty z tytułu częściowej niezdolności do pracy – do 937,50 zł. Rząd szacuje, że z waloryzacji rent i emerytur w 2021 r. skorzysta niemal 10 mln seniorów, w tym Jarosław Kaczyński, który sam głosował w Sejmie za uchwaleniem ustawy o podwyżce świadczeń o 3,84 proc. Prezes PiS w oświadczeniu majątkowym za rok 2019 r. zeznał, że otrzymał ok. 82 900 zł. emerytury - podaje ""Super Express"". Jarosław Kaczyński jako wicepremier nie będzie musiał ujawniać już swoich zarobków. Jednak nie trudno wyliczyć, ile wyniesie podwyżka na podstawie waloryzacji w roku 2020 i 2021 r. Miesięczna emerytura szefa partii rządzącej wyniesie ok. 7 430 zł. Jak wynika z obliczeń ""Super Expressu"", w ciągu dwóch lat świadczenia Kaczyńskiego wzrosną o ok. 520 zł. To niewyobrażalna kwota podwyżki dla przeciętnego emeryta. W ubiegłym roku waloryzacja emerytur wyniosła 3,56 proc, w marcu wzrośnie o kolejne, minimum 3,84 proc. Po podwyżkach Jarosław Kaczyński będzie pobierał świadczenia w wysokości 89 150 złotych w ciągu roku - wylicza ""Super Express"".Waloryzacja rent i emerytur w 2021 r. będzie waloryzacją kwotowo-procentową, czyli odbędzie się na podobnych zasadach jak w ostatnich latach. Waloryzacja to przystosowanie wysokości rent i emerytur do rosnących zarobków oraz kosztów utrzymania. Polega na pomnożeniu kwoty świadczenia oraz podstawy jego wymiaru przez wskaźnik waloryzacji. Przy jej obliczaniu uwzględnia się inflację, a także realny wzrost płac Polaków. Gdyby nie waloryzacja, to renty i emerytury przestałyby z czasem zaspokajać nawet te podstawowe potrzeby osób utrzymujących się z tych świadczeń.",0,,,
onet.pl,https://wiadomosci.onet.pl/kraj/szymon-holownia-nasi-polityczni-przeciwnicy-przekrecaja-informacje-i-manipuluja-by/3jc5jqn,"Jesteśmy teraz rozgrywani przez naszych politycznych przeciwników, którzy przekręcają informacje o tym, co dzieje się w ruchu i manipulują, by zemścić się za to, że rośniemy; nie pozwolę kręcić politycznego pasztetu na poświęceniu naszych wolontariuszy - stwierdził lider Polski 2050 Szymon Hołownia. Hołownia powiedział w Radiu Zet, że zarzuty byłych liderów jego ruchu ze Śląska są poważne, ale nieuzasadnione. - Uważam, że i słowa, i oskarżenia, które padły ze strony naszych byłych liderów są w znaczącej mierze niezasadne i niesprawiedliwe - dodał.
Lokalni działacze odchodzą od Hołowni. ""Nie na taką Polskę się umawiałem""
Jego zdaniem, budując dużą organizację, takie nieporozumienia mogą się zdarzać. ""Tam był intensywny konflikt od kilku tygodni, czy w zasadzie kilku miesięcy, na linii liderzy powiatowi - zarząd województwa śląskiego. Z innymi powiatami ta współpraca idzie. Tutaj doszło do eskalacji. Próbowaliśmy mediować"" - mówił Hołownia. Wskazał, że przez ostatni tydzień z ruchu odeszło pięć osób, a 65 do niego dołączyło.
Odnosząc się do stwierdzenia, że oddolność ruchu Polska 2050 jest ""picem na wodę"", Hołownia ocenił, że taka teza jest ""kompletną nieprawdą"".
- Jesteśmy teraz rozgrywani przez naszych politycznych przeciwników, którzy bardzo chętnie podają wszystkie informacje o tym, co się w ruchu dzieje, rozdmuchując je, przekręcając i manipulując, po to, żeby zemścić się na nas za to, że rośniemy - stwierdził. Ocenił, że takie działania są ""elementem normalnej politycznej gry"".
- Nie pozwolę kręcić politycznego pasztetu na poświęceniu naszych wolontariuszy, bo są jakieś granice swojego własnego zacietrzewienia i własnych ambicji - dodał.
Lokalni działacze ze Śląska odchodzą od Hołowni. Jest oświadczenie ruchu Polska 2050
Pytany, dlaczego ""kłusuje"", podbierając partiom parlamentarzystów, Hołownia wskazał, że myśli o działaniach politycznych w kategoriach sztafety. - Naszym celem jest zaproponowanie czegoś bardziej atrakcyjnego, niż proponuje PiS, aby Polacy mieli wreszcie inna ofertę. Jeżeli ktoś słabnie w tym wyścigu, musi się przegrupować, ma wewnętrzny problem, to ktoś przejmuje pałeczkę i biegnie dalej - powiedział.",1," Jesteśmy teraz rozgrywani przez naszych politycznych przeciwników, którzy bardzo chętnie podają wszystkie informacje o tym, co się w ruchu dzieje, rozdmuchując je, przekręcając i manipulując, po to, żeby zemścić się na nas za to, że rośniemy","słowa, i oskarżenia, które padły ze strony naszych byłych liderów są w znaczącej mierze niezasadne i niesprawiedliwe",
onet.pl,https://wiadomosci.onet.pl/kraj/zamkniete-silownie-prof-horban-mozna-kupic-hantle-i-cwiczyc-w-domu/6y1jc2j,"Jeżeli ktoś uprawia sport, to równie dobrze może uprawiać na świeżym powietrzu (...) - powiedział w poniedziałek główny doradca premiera ds. COVID-19 prof. Andrzej Horban w RMF FM. Zdaniem Horbana, ""to nie jest jeszcze czas na luzowanie obostrzeń"". Prof. Andrzej Horban stwierdził, że znoszenie ograniczeń powinno nastąpić po zaszczepieniu zdecydowanej większości osób powyżej 70. roku życia. - Jeszcze poczekajmy, jeszcze się nie śpieszmy, bo cały nasz wysiłek przez rok czyniony, potężny, demolujący życie społeczne, może wziąć w łeb - dodał profesor.
Zwrócił uwagę, że mamy już szczepionkę, ale w niewystarczających ilościach, ""przynajmniej dla najbardziej wrażliwej grupy"". - Chodzi o to, żeby ochronić ludzi najstarszych, którzy mają największe ryzyko ciężkiego przebiegu choroby i śmierci - dodał lekarz.
Horban pytany o kolejność luzowania obostrzeń powiedział, że najpierw powinniśmy otworzyć szkoły. Jego zdaniem jest to najbezpieczniejsze z punktu widzenia transmisji choroby wśród ludzi. - Jeżeli uda nam się zaszczepić zdecydowaną większość powyżej 70 plus to mamy wszelkie powody do tego, żeby zdecydowanie ograniczać wszystkie restrykcje i obostrzenia - wskazał.",0,,,
onet.pl,https://wiadomosci.onet.pl/kraj/prokurator-generalny-domaga-sie-surowszej-kary-dla-sprawcy-smierci-trzyletniego/ers3k2n,"Kara 100 tys. zł zadośćuczynienia i 15 lat więzienia dla Steva V. za zgwałcenie i śmiertelne pobicie trzyletniego chłopca jest rażąca łagodna - uznał Prokurator Generalny w skardze kasacyjnej, o której poinformowała Prokuratura Krajowa. Prokurator w kasacji domaga się surowszej kary.
Chodzi o sprawę doprowadzenia w 2017 r. do śmierci trzylatka z Wieruszowa (woj. łódzkie). Prokuratura oskarżyła w tej sprawie Steva V., posiadającego portugalskie i kanadyjskie obywatelstwo. Według prokuratury mężczyzna przez ponad tydzień znęcał się nad chłopcem, którym miał opiekować się pod nieobecność matki
Dopuścił się także gwałtu. Dziecko zmarło w szpitalu.
""Sąd złagodził karę dla zwyrodnialca, który brutalnie zgwałcił i zabił trzyletniego chłopca. Zamiast 25 lat dostał jedynie 15 lat więzienia. Nie ma mojej zgody na tak niski wyrok za bestialską zbrodnię na bezbronnym i niewinnym dziecku. Dziś złożyłem w tej sprawie kasację do SN"" - podkreślił we wtorek na Twitterze szef MS, prokurator generalny Zbigniew Ziobro: Steve V. został oskarżony o fizyczne znęcanie się, zgwałcenie i zabójstwo chłopca. ""Swoim zachowaniem oskarżony spowodował liczne obrażenia u dziecka, w tym rozległe obrażenia czaszkowo-mózgowe skutkujące ostrym masywnym krwiakiem oraz złamaniem w obrębie kości pokrywy czaszki, które doprowadziły do uszkodzenia ośrodkowego układu nerwowego i śmierci chłopca. Sprawca dopuścił się tego czynu pod wpływem środków odurzających"" - wskazała prokuratura.

Zabójstwo 13-letniej Patrycji. Rodzice Kacpra zdradzają kolejne szczegóły
W lutym 2019 r. Sąd Okręgowy w Sieradzu skazał Steve'a V. na 25 lat więzienia. Od tego wyroku apelację złożyły obie strony. Prokuratura domagała się wówczas kary dożywotniego pozbawienia wolności. W lutym 2020 r. Sąd Apelacyjny w Łodzi, uchylił wyrok I instancji i złagodził karę do 15 lat więzienia oraz zobowiązał Steve'a V. do zapłaty 100 tys. zł zadośćuczynienia dla matki dziecka.",1,Nie ma mojej zgody na tak niski wyrok za bestialską zbrodnię na bezbronnym i niewinnym dziecku. Dziś złożyłem w tej sprawie kasację do SN,,
onet.pl,https://wiadomosci.onet.pl/kraj/otwarta-dyskoteka-w-czasie-pandemii-prof-simon-krytycznie-to-lajdactwo/dgdj9dv,"Nie ma możliwości otwierania dyskotek. To jest działanie  tego nie wolno robić - ocenił w rozmowie z portalem Money.pl prof. Krzysztof Simon. Kierownik Kliniki Chorób Zakaźnych i Hepatologii Uniwersytetu Medycznego we Wrocławiu skrytykował zachowanie właścicieli klubów, którzy pomimo obowiązujących restrykcji zdecydowali się otworzyć swoje kluby. Trwający lockdown wywołuje coraz większą frustrację wśród przedsiębiorców, którzy mimo obowiązujących restrykcji i grożących im kar decydują się na otwarcie biznesów. W ostatni weekend dołączyli do nich masowo właściciele klubów. Policja i sanepid interweniują, ale sprawą może zająć się także prokuratura. W grę wchodzi złamanie przepisów kodeksu karnego o sprowadzeniu niebezpieczeństwa dla życia lub zdrowia wielu osób.
Popularność w mediach społecznościowych zyskało m.in. nagranie zamieszczone przez dziennikarza ""Wprost"" Marcina Dobskiego. Przedstawia jeden z lokali w Warszawie, gdzie widać tańczący na parkiecie tłum, wykrzykujący ""J...ać PiS"".
Z wystroju wnętrza wynika, że chodzi o popularny bar PiwPaw. Osoby nim zarządzające w rozmowie z Onetem nie chcą przyznać, że nagranie zostało wykonane w ich lokalu, ale potwierdzają, że prowadzą działalność pod hasłem ""piwnych szkoleń"". Osoby obecne na miejscu mają wymieniać się doświadczeniami związanymi ze spożyciem alkoholu.",1,"tłum, wykrzykujący ""J...ać PiS""",,
onet.pl,https://wiadomosci.onet.pl/kraj/jadwiga-emilewicz-przeprasza-za-wyjazd-z-synami-na-narty/9ph8q6c,"Popełniłam błąd i bardzo za to przepraszam. Politykom wolno mniej, zwłaszcza w tak trudnej sytuacji jak pandemia - powiedziała w rozmowie z portalem Interia Jadwiga Emilewicz. Była wicepremier i posłanka PiS wzięła wraz z synami udział w zgrupowaniu narciarskim mimo obostrzeń uprawniających do korzystania ze stoków wyłącznie zawodowych sportowców.- Nie powinnam była jechać. Z pokorą przyjmuję krytykę internautów, mediów, klubowych kolegów i opozycji. To, co się wydarzyło, nie powinno mieć miejsca - zadeklarowała Emilewicz w wywiadzie dla Interii.

- To, że mój wyjazd z dziećmi, ich trening, był zgodny z przepisami prawa, a ja sama, co chyba umknęło uwadze mediów, nie jeździłam na nartach, nie zmienia faktu, że to wszystko było, najdelikatniej mówiąc, niestosowne - dodała posłanka PiS.

Słowa Emilewicz o zgodnym z prawem treningu mogą budzić wątpliwości. W połowie stycznia portal tvn24.pl podał, że trzech synów byłej wicepremier wzięło udział w zgrupowaniu narciarskim jak zawodowi sportowcy, choć nie mieli licencji, które do tego uprawniają. Jak pisał portal, licencje pojawiły się w wykazie Polskiego Związku Narciarskiego dopiero po tym, gdy dziennikarze tvn24.pl zadali o nie pytania. Do grupy osób uprawnionych do korzystania ze stoku została dopisana też sama Emilewicz.",0,,,
